Producto,Precio(ARS),Cantidad,Categoria,Tienda,Precio U Venta(ARS),Precio Vendido(ARS)
Beauty Girl,320.00,0,,Tienda 1,400,300
Bey Blade Top Ciclon,290.00,1,,Tienda 1,650,650
Cars x4,500.00,1,,Tienda 1,1200,1000
Coffee Serbice,250.00,1,,Tienda 1,800,500
DOS,110.00,1,,Tienda 1,350,300
