Producto,Marca,Cantidad,Precio(ARS)
Otros productos,,1,1875.71
Limpiador facial,Dove,1,432.78
[Agua micelar | Serum | Crema hidratante],,1,3388.0
Cepillo de dientes,Colgate,1,350
Esponja,,0,700
