Producto,Marca,Cantidad,Precio(ARS)
FIAMBRERIA,,1,678.35
ARROZ,DOS HERMANOS,1,170.00
PAN,,1,140.00
HUEVOS FRESCOS,MARTI,1,125.00
MAYONESA SACHE,HELLMANNS,1,265.00
KETCHUP,HELLMANNS,1,145.00
SALSA GOLF,HELLMANNS,1,160.00
CREMON 0.530 x 1460.00,LA SERENISIMA,1,773.80
TE CHAI X 20 UN,LA VIRGINIA,1,158.00
PAN RALLADO,MORIXE,1,200.00
LECHE LASERENISIMA,LA SERENISIMA,2,320.00
HARINA 0000,MORIXE,1,118.00
